Heading,Sentence,Cleaned Heading,Cleaned Sentence,Combined Cleaned Text,Corrected Text
RATIONALE AND PHILOSOPHY  ,"The use of computers is on an historical increase in Nigeria and computers are rapidly becoming parts of our lives. This includ es social networkin g, online shopping, teaching and research, transportation, communication, marketing, to automobiles, manufacturing, patient diagnosis; surgery; treatment and management, the list continues. Nearly all sectors, offices and businesses now use one computer application or the other.",rationale philosophy,use computer historical increase nigeria computer rapidly life includ es social networkin g online shopping teaching research transportation communication marketing automobile manufacturing patient diagnosis surgery treatment management list continue nearly sector office business use computer application,rationale philosophy use computer historical increase nigeria computer rapidly life includ es social networkin g online shopping teaching research transportation communication marketing automobile manufacturing patient diagnosis surgery treatment management list continue nearly sector office business use computer application,0
RATIONALE AND PHILOSOPHY  ,"A major challenge in Nigeria, particularly in Lagos state, is the shortage of capable computer professionals who will meet the growing needs of the nation and provide the services and expertise required. In the department of compu ter science, Lagos State University, we believe that it is possible to train home based computer professionals who will be capable of meeting national needs and also compare favourably with computer professionals in the international com munity. In view of this, the focus of our undergraduate programme is to equip our students with the right skills and knowledge relevant to the growing needs of this dynamic society. The philosophy of the BSc in Computer Science programme is to produce grad uates well equipped  with skills, knowledge and ability that will get them prepared for careers in industries, research and public sectors both nationally and internationally.",rationale philosophy,major challenge nigeria particularly lagos state shortage capable computer professional meet grow need nation provide service expertise require department compu ter science lagos state university believe possible train home base computer professional capable meet national need compare favourably computer professional international com munity view focus undergraduate programme equip student right skill knowledge relevant grow need dynamic society philosophy bsc computer science programme produce grad uate equip skill knowledge ability prepared career industry research public sector nationally internationally,rationale philosophy major challenge nigeria particularly lagos state shortage capable computer professional meet grow need nation provide service expertise require department compu ter science lagos state university believe possible train home base computer professional capable meet national need compare favourably computer professional international com munity view focus undergraduate programme equip student right skill knowledge relevant grow need dynamic society philosophy bsc computer science programme produce grad uate equip skill knowledge ability prepared career industry research public sector nationally internationally,0
OBJECTIVES  ,"In line with the rationale and philosophy of our Bachelor’s programmes, the aims and objectiv es of the BSc. Degree programme include:  1. To produce graduates with skills and knowledge that will allow them to be comparable with peers in the international community.  2. To produce graduates who are capable of applying appropriate scientific principles for  solving problems for the promotion of human well -being.  3. To produce graduates who are well prepared and ready for self -employment and job creatio n as an option to seeking employment in the labour market, hence reducing unemployment and boosting our economy . The following are the objectives of the programmes:  1. To teach computer science courses that are relevant to the growing needs of thi s dynamic world.  2. To create an environment conducive for learning and research for our students.  3. To expose stude nts to the application areas of computer science to enable them acquire transferrable skills and knowledge relevant to both academics and industr ies. 4. To inculcate in our students presentation skills and increase their awareness on the benefits of public en gagements.",objective,line rationale philosophy bachelor programme aim objectiv es bsc degree programme include 1 produce graduate skill knowledge allow comparable peer international community 2 produce graduate capable apply appropriate scientific principle solve problem promotion human -being 3 produce graduate prepared ready self -employment job creatio n option seek employment labour market reduce unemployment boost economy follow objective programme 1 teach computer science course relevant grow need thi s dynamic world 2 create environment conducive learning research student 3 expose stude nt application area computer science enable acquire transferrable skill knowledge relevant academic industr ies 4 inculcate student presentation skill increase awareness benefit public en gagement,objective line rationale philosophy bachelor programme aim objectiv es bsc degree programme include 1 produce graduate skill knowledge allow comparable peer international community 2 produce graduate capable apply appropriate scientific principle solve problem promotion human -being 3 produce graduate prepared ready self -employment job creatio n option seek employment labour market reduce unemployment boost economy follow objective programme 1 teach computer science course relevant grow need thi s dynamic world 2 create environment conducive learning research student 3 expose stude nt application area computer science enable acquire transferrable skill knowledge relevant academic industr ies 4 inculcate student presentation skill increase awareness benefit public en gagement,0
LEARNING OUTCOMES  ,"At the end of any of the BSc. Degree programme in computer science, graduates are expected to:",learn outcomes,end bsc degree programme computer science graduate expect,learn outcomes end bsc degree programme computer science graduate expect,0
LEARNING OUTCOMES  ,"1. have comprehensive knowledge  of computer science encompassing an understanding of the theoretical foundations and quantitative tools in com puter science, as well as the ability to apply the knowledge to solving problems.  2. be able to demonstrate problem solving capacity using computati onal approach in an innovative and creative way.  3. display comprehensive knowledge of computer science and should  have acquired entrepreneurial skills for self -sufficiency and also to meet the needs of the public and private sectors in Nigeria and beyond.",learn outcomes,1 comprehensive knowledge computer science encompass understanding theoretical foundation quantitative tool com puter science ability apply knowledge solve problem 2 able demonstrate problem solve capacity use computati onal approach innovative creative way 3 display comprehensive knowledge computer science acquire entrepreneurial skill self -sufficiency meet need public private sector nigeria,learn outcomes 1 comprehensive knowledge computer science encompass understanding theoretical foundation quantitative tool com puter science ability apply knowledge solve problem 2 able demonstrate problem solve capacity use computati onal approach innovative creative way 3 display comprehensive knowledge computer science acquire entrepreneurial skill self -sufficiency meet need public private sector nigeria,0
REGISTRATION OF COURSES  ,"Admission into BSc. Computer programme is in two categories as follows;  i. Unified Terti ary Matriculation Examination (UTME)  Five (5) O/Level credits including English Language, Mathematics, Physics to form the core subjects with credit in any other two relevant science subjects, at the Senior Secondary School Certificate or its equivalent, a t a maximum of two sittings.  The direct entry admits prospective students into theLevel of the Degree Programme with a minimum of two “A” level passes, National Diploma Certificate at a minimum of Upper Credit pass in the rel evant subjects.  a. Students who entered through the UTME route are required to spend minimum ofacademic sessions and maximum ofacademic sessions.  b. Students who entered through the direct entry option are required to spend minimum of academic sessions and maximum ofa cademic sessions.  In addition to the general requirements for graduation in the University’s as contained in the brochure, all students who entered through UTME must pass courses totaling a mini mum ofunits while those who ente red through direct entry are required to pass courses totaling a minimum ofunits.  Students are required to complete registration of courses based on the time and conditions stipulated by the  University brochure.",registration course,admission bsc computer programme category follow i. unified terti ary matriculation examination utme 5 o level credit include english language mathematics physics form core subject credit relevant science subject senior secondary school certificate equivalent t maximum sitting direct entry admit prospective student thelevel degree programme minimum level pass national diploma certificate minimum upper credit pass rel evant subject a. student enter utme route require spend minimum ofacademic session maximum ofacademic session b. student enter direct entry option require spend minimum academic session maximum ofa cademic session addition general requirement graduation university contain brochure student enter utme pass course total mini mum ofunit ente red direct entry require pass course total minimum ofunit student require complete registration course base time condition stipulate university brochure,registration course admission bsc computer programme category follow i. unified terti ary matriculation examination utme 5 o level credit include english language mathematics physics form core subject credit relevant science subject senior secondary school certificate equivalent t maximum sitting direct entry admit prospective student thelevel degree programme minimum level pass national diploma certificate minimum upper credit pass rel evant subject a. student enter utme route require spend minimum ofacademic session maximum ofacademic session b. student enter direct entry option require spend minimum academic session maximum ofa cademic session addition general requirement graduation university contain brochure student enter utme pass course total mini mum ofunit ente red direct entry require pass course total minimum ofunit student require complete registration course base time condition stipulate university brochure,0
CONTINUOUS ASS ESSMENT AND EXAMINATIONS  ,"a. Continuous Assessment  Continuous Assessment (CA) shall be done through essays, tests, term papers, tutorial exercises, quizzes and home work. Scores from CA shall be 30% of the final marks.",continuous ass essment examination,a. continuous assessment continuous assessment shall essay test term paper tutorial exercise quiz home work score shall 30 final mark,continuous ass essment examination a. continuous assessment continuous assessment shall essay test term paper tutorial exercise quiz home work score shall 30 final mark,0
CONTINUOUS ASS ESSMENT AND EXAMINATIONS  ,b. Examination  Final examination shall be conducted on every course at the end of each semester. Scores from the final examination shall be 70% of the final marks.,continuous ass essment examination,b. examination final examination shall conduct course end semester score final examination shall 70 final mark,continuous ass essment examination b. examination final examination shall conduct course end semester score final examination shall 70 final mark,0
" LEVEL, RAIN  ","Code  Title Unit Status  CSC Introduction to Computer Science C MAT Algebra C MAT Trigonometry C MAT Coordinate Geometry I E PHY General Physics I C PHY Basic  Heat E PHY Experimental Physics I C BIO Basic Principles of Biology C CHM General Chemistry I C GNSUse of Library C CSC Computer application I for arts, social sciences and management sciences ** Total units   C (22), E (4)  ** CSCis for non -computer science students",level rain,code title unit status csc introduction computer science c mat algebra c mat trigonometry c mat coordinate geometry e phy general physics c phy basic heat e phy experimental physics c bio basic principles biology c chm general chemistry c gnsuse library c csc computer application art social science management science total unit c 22 e 4 cscis non -comput science student,level rain code title unit status csc introduction computer science c mat algebra c mat trigonometry c mat coordinate geometry e phy general physics c phy basic heat e phy experimental physics c bio basic principles biology c chm general chemistry c gnsuse library c csc computer application art social science management science total unit c 22 e 4 cscis non -comput science student,0
" LEVEL, RAI N ","Code  Title U S CSC Computer as a Problem Sol ving ToolC CSC Software Workshop C CSC Principles of computer organization C CSC Principles of programming language I C MAT Calculus C MAT Coordinate Geometry II E MAT Introductory Statistics C PHY Basic Optics and Sound E PHY General Physics II C GNS Use of English C Total  units   C (19 ), E (5)  Code  Title U S CSC Operating Systems I  C CSC Algorithm development and application C CSC Fundamentals o f digital electronics R CSC Digital Logic design E CSC Fundamentals of Data Structures C CSC Introduction to Information Processing Methods C CSC5 Software Practice I C MAT Mathematical Methods I C MATProbability T heory and Distributions E GNS Lagos and its Environment C CSC Computer application II for arts, social sciences and management sciences ** Total units    C (18 ), E (4), R (1)   ** CSCis for non -computer science students  Code  Title U S CSC Introduction to Discrete Mathematics  C CSC Introduction to hardware laboratory E CSC Computer Architecture C CSC Database Management System I  C CSC Foundation of Sequential Program C CSC Assem bly Programming Language  C CSC Object Oriented Programming I (C++) C MAT Differential Equations E PHY Electricity and Magnetism E  ENT Entrepreneurship Studies I C  CSC28 Software Practice II  Total units    C (17), E (8 ) ** CSC8 is for non -computer science students",level rai n,code title u s csc computer problem sol ve toolc csc software workshop c csc principles computer organization c csc principles programming language c mat calculus c mat coordinate geometry ii e mat introductory statistics c phy basic optics sound e phy general physics ii c gns use english c total unit c 19 e 5 code title u s csc operating systems c csc algorithm development application c csc fundamentals o f digital electronic r csc digital logic design e csc fundamentals data structures c csc introduction information processing methods c csc5 software practice c mat mathematical methods c matprobability t heory distribution e gns lagos environment c csc computer application ii art social science management science total unit c 18 e 4 r 1 cscis non -comput science student code title u s csc introduction discrete mathematics c csc introduction hardware laboratory e csc computer architecture c csc database management system c csc foundation sequential program c csc assem bly programming language c csc object orient programming c++ c mat differential equations e phy electricity magnetism e ent entrepreneurship studies c csc28 software practice ii total unit c 17 e 8 csc8 non -comput science student,level rai n code title u s csc computer problem sol ve toolc csc software workshop c csc principles computer organization c csc principles programming language c mat calculus c mat coordinate geometry ii e mat introductory statistics c phy basic optics sound e phy general physics ii c gns use english c total unit c 19 e 5 code title u s csc operating systems c csc algorithm development application c csc fundamentals o f digital electronic r csc digital logic design e csc fundamentals data structures c csc introduction information processing methods c csc5 software practice c mat mathematical methods c matprobability t heory distribution e gns lagos environment c csc computer application ii art social science management science total unit c 18 e 4 r 1 cscis non -comput science student code title u s csc introduction discrete mathematics c csc introduction hardware laboratory e csc computer architecture c csc database management system c csc foundation sequential program c csc assem bly programming language c csc object orient programming c++ c mat differential equations e phy electricity magnetism e ent entrepreneurship studies c csc28 software practice ii total unit c 17 e 8 csc8 non -comput science student,0
CSC C ,"Code  Title U S CSC Object Oriented Programming II (Java) C CSC Compiler Construction C CSC Evolutionary Computation  E CSC Operating Systems II  C CSCDatabase Management System II  C CSC Computer Research Methodology  R CSC Introduction to Formal Language and Automata theory E CSC Systems Analysis and Design C CSC Functional Programming  E ENT Entrepreneurship Stu dies II  C MAT Operations Research E GNS Logic and Philosophy C CSC Computer application III for arts, social sciences and management sciences ** ++CSC Practical Application of Database in Industries R ++CSC Practical App lication of Data and Information -Presentation Skills R ++CSC Students' Industrial  Work Experience Scheme Total units   C (6), R(12)",csc c,code title u s csc object oriented programming ii java c csc compiler construction c csc evolutionary computation e csc operating systems ii c cscdatabase management system ii c csc computer research methodology r csc introduction formal language automata theory e csc systems analysis design c csc functional programming e ent entrepreneurship stu die ii c mat operations research e gns logic philosophy c csc computer application iii art social science management science csc practical application database industries r csc practical app lication data information -presentation skills r csc students industrial work experience scheme total unit c 6 r(12,csc c code title u s csc object oriented programming ii java c csc compiler construction c csc evolutionary computation e csc operating systems ii c cscdatabase management system ii c csc computer research methodology r csc introduction formal language automata theory e csc systems analysis design c csc functional programming e ent entrepreneurship stu die ii c mat operations research e gns logic philosophy c csc computer application iii art social science management science csc practical application database industries r csc practical app lication data information -presentation skills r csc students industrial work experience scheme total unit c 6 r(12,0
CSC C ,++ New courses introduced to enable students meet up with the University policy ofminimum units per semester. Courses are practical applications of computer science to industries.  See course description for more information,csc c,new course introduce enable student meet university policy ofminimum unit semester course practical application computer science industry course description information,csc c new course introduce enable student meet university policy ofminimum unit semester course practical application computer science industry course description information,0
" LEVEL, HAMMATTAN  ",Title,level hammattan,title,level hammattan title,0
  C ,"CSC Social and Professional Issues in Information Technology   U S CSCSoftware Engineering   E CSC Statistical Computing   C CSC Embedded computer systems  E CSC Computational Science   & Numerical Methods E CSC Modelling and Simulation  C CSC Analysis and Design of Digital System  E CSCArtificial Intelligence E CSC Optimization Theory  C CSC Statistical Processing Systems  E CSC1 Human Computer Interface E CSC Net-Centric Computing C CSC Seminar on special topics in computer science E CSC Project Management C  ** Total  units   C (14), E (22)  ** CSCis for non -computer science students   Title  CSC Pattern Recognition and Computer vision  U S CSC Introduction to Computer Security E CSC Expert S ystems   and Knowledge Engineering    CSC Further Statistical Processing E CSC Computer Graphics  and Visual Computing E CSC Computer Network/ Communication E CSC Principles of programming language II C CSC Introduction to P HP & MYSQL  C CSC Robotics E CSC Digital Image Processing E CSC Final Year Project E ENT Entrepreneurship II C Total units    C (12), E (19)",c,csc social professional issues information technology u s cscsoftware engineering e csc statistical computing c csc embed computer system e csc computational science numerical methods e csc modelling simulation c csc analysis design digital system e cscartificial intelligence e csc optimization theory c csc statistical processing systems e csc1 human computer interface e csc net centric computing c csc seminar special topic computer science e csc project management c total unit c 14 e 22 cscis non -comput science student title csc pattern recognition computer vision u s csc introduction computer security e csc expert s ystem knowledge engineering csc statistical processing e csc computer graphics visual computing e csc computer network/ communication e csc principles programming language ii c csc introduction p hp mysql c csc robotic e csc digital image processing e csc final year project e ent entrepreneurship ii c total unit c 12 e 19,c csc social professional issues information technology u s cscsoftware engineering e csc statistical computing c csc embed computer system e csc computational science numerical methods e csc modelling simulation c csc analysis design digital system e cscartificial intelligence e csc optimization theory c csc statistical processing systems e csc1 human computer interface e csc net centric computing c csc seminar special topic computer science e csc project management c total unit c 14 e 22 cscis non -comput science student title csc pattern recognition computer vision u s csc introduction computer security e csc expert s ystem knowledge engineering csc statistical processing e csc computer graphics visual computing e csc computer network/ communication e csc principles programming language ii c csc introduction p hp mysql c csc robotic e csc digital image processing e csc final year project e ent entrepreneurship ii c total unit c 12 e 19,0
CSC 104: SOFTWARE WORKSHOP (3 UNITS) - C ,"Programmin g language; Basic elements, Data types, Control structures and Program design; Basic I/O concepts; Arrays; Procedures, Functions and structured programming; Modules; Dynamic Memory Allocation; Programming exercises using current version of FORTRAN language  with emphasis on science application problems.",csc 104 software workshop 3 unit c,programmin g language basic element data type control structure program design basic o concept arrays procedure functions structured programming modules dynamic memory allocation programming exercise use current version fortran language emphasis science application problem,csc 104 software workshop 3 unit c programmin g language basic element data type control structure program design basic o concept arrays procedure functions structured programming modules dynamic memory allocation programming exercise use current version fortran language emphasis science application problem,0
CSC 111: INTRODUCTION TO COMPUTER SCIENCE (3 UNITS) - C  ,"Meaning and history of Computer Science. Generations of computers. Computer Hardware: functional components, Modern input and output units. Computer S oftware: Operating Systems, Application  Packages. Program Development tools: Flow charts and algorithms. Pr ograms Objects, BASIC or VISUAL BASIC Fundamentals.",csc 111 introduction computer science 3 unit c,meaning history computer science generation computer computer hardware functional component modern input output unit computer s oftware operating systems application packages program development tool flow chart algorithm pr ogram objects basic visual basic fundamentals,csc 111 introduction computer science 3 unit c meaning history computer science generation computer computer hardware functional component modern input output unit computer s oftware operating systems application packages program development tool flow chart algorithm pr ogram objects basic visual basic fundamentals,0
